lumber,houses
163.7,627
161.9,593
162.1,535
162.8,536
169.1,504
170.4,487
166.9,477
167.3,435
166.7,433
159.4,393
156.7,389
154.9,377
150.4,336
148.5,372
144.8,339
145,337
143.7,376
144.6,393
150.9,411
151.4,418
152.6,386
151.4,396
153.3,375
156.4,352
157.2,345
166.4,336
169.2,381
175.8,422
180,280
170.1,305
167.4,283
165,282
163.9,317
162.6,291
163.8,287
166.4,326
169,307
168.7,270
170,300
168.7,310
165.9,305
165.3,301
165.9,296
167.7,299
165.6,304
165,316
163.2,328
164.1,341
164.1,335
166.2,366
169.3,354
170.1,354
174.8,370
174.7,360
170.7,369
175.2,375
174.8,385
170.6,358
177,392
181.9,399
190.9,446
196.1,447
204.1,444
208.4,441
200.7,428
192.4,470
190.5,375
194.5,381
196.3,403
200.4,444
204.6,446
205.4,433
210.5,443
214.8,420
218.3,405
215.3,403
217.1,451
216.3,418
215.6,402
216.6,456
218.7,470
214,476
211.2,442
210,497
210,515
207.8,540
204.6,480
202.8,502
198.7,502
198.2,480
200.1,506
196.6,518
191.8,456
192.3,482
195.4,504
193.1,546
194.1,505
193.8,517
196.8,532
201.7,576
203.2,571
203.6,557
204.8,628
206.3,575
205.4,558
204.9,575
203.5,571
203.1,561
203.1,573
210.1,587
211.8,632
215.9,598
218.3,635
216.1,619
216.9,572
222.1,556
220.7,637
223.6,626
224.6,711
223.6,630
225.3,590
237,618
240.3,679
238.4,642
249.3,662
254.5,636
248,628
231.7,593
228,595
214.2,554
209.2,625
211.2,546
210,591
215.8,638
213.5,705
212.6,695
210.8,602
205.6,763
209.9,669
208.9,720
210.9,715
208.6,721
208.3,710
210,693
209.6,685
215.2,699
222.1,609
204.5,569
211,696
225.1,936
241.1,1019
270.2,1029
322,988
301.3,1027
264.2,863
291.5,873
329.9,901
343.9,765
365.8,850
390.3,810
462,715
444.3,716
334.813,760
283.26,690
275.379,742
288.295,680
299.073,772
346.95,830
404.213,810
422.316,773
444.946,707
384.474,611
394.751,636
318.471,563
319.231,543
307.332,638
292.178,567
282.917,577
276.495,582
264.42,636
263.388,649
266.869,625
263.853,640
261.22,679
261.417,710
257.664,683
272.345,728
255.709,654
256.492,698
246.437,676
240.351,615
244.824,664
